title,year
Um Sonho de Liberdade,(1994)
O Poderoso Chefão,(1972)
Batman: O Cavaleiro das Trevas,(2008)
O Poderoso Chefão II,(1974)
12 Homens e uma Sentença,(1957)
A Lista de Schindler,(1993)
O Senhor dos Anéis: O Retorno do Rei,(2003)
Pulp Fiction - Tempo de Violência,(1994)
O Senhor dos Anéis: A Sociedade do Anel,(2001)
Três Homens em Conflito,(1966)
Forrest Gump: O Contador de Histórias,(1994)
Clube da Luta,(1999)
Homem-Aranha: Através do Aranhaverso,(2023)
O Senhor dos Anéis: As Duas Torres,(2002)
A Origem,(2010)
Star Wars: Episódio V - O Império Contra-Ataca,(1980)
Matrix,(1999)
Os Bons Companheiros,(1990)
Um Estranho no Ninho,(1975)
Seven: Os Sete Crimes Capitais,(1995)
A Felicidade Não se Compra,(1946)
Os Sete Samurais,(1954)
O Silêncio dos Inocentes,(1991)
O Resgate do Soldado Ryan,(1998)
Cidade de Deus,(2002)
Interestelar,(2014)
A Vida é Bela,(1997)
À Espera de um Milagre,(1999)
Star Wars: Episódio IV - Uma Nova Esperança,(1977)
O Exterminador do Futuro 2: O Julgamento Final,(1991)
De Volta para o Futuro,(1985)
A Viagem de Chihiro,(2001)
O Pianista,(2002)
Psicose,(1960)
Parasita,(2019)
O Profissional,(1994)
O Rei Leão,(1994)
Gladiador,(2000)
A Outra História Americana,(1998)
Os Infiltrados,(2006)
Whiplash: Em Busca da Perfeição,(2014)
O Grande Truque,(2006)
Os Suspeitos,(1995)
Casablanca,(1942)
Túmulo dos Vagalumes,(1988)
Harakiri,(1962)
Intocáveis,(2011)
Tempos Modernos,(1936)
Era uma Vez no Oeste,(1968)
Cinema Paradiso,(1988)
Janela Indiscreta,(1954)
Alien - O 8º Passageiro,(1979)
Luzes da Cidade,(1931)
Apocalypse Now,(1979)
Amnésia,(2000)
Django Livre,(2012)
Os Caçadores da Arca Perdida,(1981)
WALL·E,(2008)
A Vida dos Outros,(2006)
Crepúsculo dos Deuses,(1950)
Glória Feita de Sangue,(1957)
Vingadores: Guerra Infinita,(2018)
O Iluminado,(1980)
O Grande Ditador,(1940)
Testemunha de Acusação,(1957)
Homem-Aranha: No Aranhaverso,(2018)
"Aliens, O Resgate",(1986)
Beleza Americana,(1999)
Batman: O Cavaleiro das Trevas Ressurge,(2012)
Dr. Fantástico,(1964)
Bastardos Inglórios,(2009)
Oldboy,(2003)
Viva: A Vida é uma Festa,(2017)
Amadeus,(1984)
Toy Story,(1995)
Coração Valente,(1995)
O Barco: Inferno no Mar,(1981)
Coringa,(2019)
Vingadores: Ultimato,(2019)
Princesa Mononoke,(1997)
Gênio Indomável,(1997)
Era uma Vez na América,(1984)
Your Name.,(2016)
3 Idiotas,(2009)
Cantando na Chuva,(1952)
Céu E Inferno,(1963)
Réquiem para um Sonho,(2000)
Cafarnaum,(2018)
Toy Story 3,(2010)
"Star Wars, Episódio VI: O Retorno do Jedi",(1983)
Vá e Veja,(1985)
Brilho Eterno de uma Mente sem Lembranças,(2004)
2001: Uma Odisséia no Espaço,(1968)
A Caça,(2012)
Cães de Aluguel,(1992)
Lawrence da Arábia,(1962)
Cidadão Kane,(1941)
Viver,(1952)
"M, o Vampiro de Dusseldorf",(1931)
Intriga Internacional,(1959)
Se Meu Apartamento Falasse,(1960)
Um Corpo que Cai,(1958)
O Fabuloso Destino de Amélie Poulain,(2001)
Pacto de Sangue,(1944)
Laranja Mecânica,(1971)
Nascido para Matar,(1987)
Scarface,(1983)
Hamilton,(2020)
Incêndios,(2010)
Fogo Contra Fogo,(1995)
Up: Altas Aventuras,(2009)
O Sol é para Todos,(1962)
Golpe de Mestre,(1973)
A Separação,(2011)
Metrópolis,(1927)
Indiana Jones e a Última Cruzada,(1989)
Duro de Matar,(1988)
Los Angeles: Cidade Proibida,(1997)
Snatch: Porcos e Diamantes,(2000)
Ladrões de Bicicletas,(1948)
Taxi Driver: Motorista de Táxi,(1976)
Como Estrelas na Terra,(2007)
1917,(2019)
Dangal,(2016)
